model,scenario,penetration,total_vehicles,avg_travel_time,avg_delay,lc_cnt,collisions,max_queue
Game (Ours),1200pcu/h_0%CAV,0.0,77,139.58,16.91,0,0,11
Game (Ours),2000pcu/h_0%CAV,0.0,109,126.81,14.87,0,0,23
Game (Ours),2800pcu/h_0%CAV,0.0,97,130.74,20.12,0,0,34
Game (Ours),3600pcu/h_0%CAV,0.0,61,137.44,25.54,0,0,47
Game (Ours),1200pcu/h_10%CAV,0.1,77,119.07,5.63,4,0,14
Game (Ours),2000pcu/h_10%CAV,0.1,118,124.13,11.92,6,0,24
Game (Ours),2800pcu/h_10%CAV,0.1,172,135.9,23.03,18,0,35
Game (Ours),3600pcu/h_10%CAV,0.1,214,142.72,29.53,22,0,46
Game (Ours),1200pcu/h_30%CAV,0.3,79,124.98,8.4,8,0,11
Game (Ours),2000pcu/h_30%CAV,0.3,123,130.69,13.97,28,0,23
Game (Ours),2800pcu/h_30%CAV,0.3,159,146.02,29.15,33,0,35
Game (Ours),3600pcu/h_30%CAV,0.3,213,147.45,31.3,37,0,37
Game (Ours),1200pcu/h_50%CAV,0.5,74,129.94,10.15,23,0,11
Game (Ours),2000pcu/h_50%CAV,0.5,122,138.84,19.21,35,0,23
Game (Ours),2800pcu/h_50%CAV,0.5,171,138.3,17.65,61,0,37
Game (Ours),3600pcu/h_50%CAV,0.5,211,147.75,27.76,74,0,41
Game (Ours),1200pcu/h_70%CAV,0.7,78,130.83,6.92,33,0,10
Game (Ours),2000pcu/h_70%CAV,0.7,124,134.15,10.66,58,0,17
Game (Ours),2800pcu/h_70%CAV,0.7,167,138.61,14.42,99,0,27
Game (Ours),3600pcu/h_70%CAV,0.7,214,144.25,19.89,134,0,35
Game (Ours),1200pcu/h_100%CAV,1.0,77,133.42,4.46,43,0,9
Game (Ours),2000pcu/h_100%CAV,1.0,126,135.23,6.63,82,0,17
Game (Ours),2800pcu/h_100%CAV,1.0,173,139.79,11.13,115,0,22
Game (Ours),3600pcu/h_100%CAV,1.0,204,147.45,18.96,205,0,26
