model,scenario,penetration,n_cav,total_vehicles,avg_travel_time,avg_delay,lc_cnt,collisions,max_queue,label
SUMO Default,1200pcu/h_0%CAV,0.0,120,64,144.56,19.18,0,0,10,1200pcu/h_0%CAV
SUMO Default,2000pcu/h_0%CAV,0.0,200,100,127.76,16.0,0,0,54,2000pcu/h_0%CAV
SUMO Default,2800pcu/h_0%CAV,0.0,280,84,131.99,21.7,0,2,72,2800pcu/h_0%CAV
SUMO Default,3600pcu/h_0%CAV,0.0,360,45,143.76,31.33,0,0,92,3600pcu/h_0%CAV
SUMO Default,1200pcu/h_10%CAV,0.1,120,60,127.31,11.53,0,0,10,1200pcu/h_10%CAV
SUMO Default,2000pcu/h_10%CAV,0.1,200,84,127.68,14.09,0,0,54,2000pcu/h_10%CAV
SUMO Default,2800pcu/h_10%CAV,0.1,280,106,136.08,22.86,0,2,72,2800pcu/h_10%CAV
SUMO Default,3600pcu/h_10%CAV,0.1,360,131,142.4,28.71,0,0,92,3600pcu/h_10%CAV
SUMO Default,1200pcu/h_30%CAV,0.3,120,61,149.45,20.0,0,0,10,1200pcu/h_30%CAV
SUMO Default,2000pcu/h_30%CAV,0.3,200,1,105.2,0.27,0,0,54,2000pcu/h_30%CAV
SUMO Default,2800pcu/h_30%CAV,0.3,280,10,122.13,7.55,0,2,72,2800pcu/h_30%CAV
SUMO Default,3600pcu/h_30%CAV,0.3,360,9,118.84,2.28,0,0,92,3600pcu/h_30%CAV
SUMO Default,1200pcu/h_50%CAV,0.5,120,61,149.45,20.0,0,0,10,1200pcu/h_50%CAV
SUMO Default,2000pcu/h_50%CAV,0.5,200,35,138.83,9.75,0,0,54,2000pcu/h_50%CAV
SUMO Default,2800pcu/h_50%CAV,0.5,280,41,137.69,9.42,0,2,72,2800pcu/h_50%CAV
SUMO Default,3600pcu/h_50%CAV,0.5,360,57,161.82,33.95,0,0,92,3600pcu/h_50%CAV
SUMO Default,1200pcu/h_70%CAV,0.7,120,61,149.45,20.0,0,0,10,1200pcu/h_70%CAV
SUMO Default,2000pcu/h_70%CAV,0.7,200,35,138.83,9.75,0,0,54,2000pcu/h_70%CAV
SUMO Default,2800pcu/h_70%CAV,0.7,280,41,137.69,9.42,0,2,72,2800pcu/h_70%CAV
SUMO Default,3600pcu/h_70%CAV,0.7,360,46,157.8,28.19,0,0,42,3600pcu/h_70%CAV
SUMO Default,1200pcu/h_100%CAV,1.0,120,61,149.45,20.0,0,0,10,1200pcu/h_100%CAV
SUMO Default,2000pcu/h_100%CAV,1.0,200,35,138.83,9.75,0,0,54,2000pcu/h_100%CAV
SUMO Default,2800pcu/h_100%CAV,1.0,280,41,137.69,9.42,0,2,72,2800pcu/h_100%CAV
SUMO Default,3600pcu/h_100%CAV,1.0,360,57,161.82,33.95,0,0,92,3600pcu/h_100%CAV
